NAMESPACE         NAME                               AGE   READY   STATUS
flux-system       bp-postgres-shared-b               9d    True    Helm upgrade succeeded for release shared-data/shared-pg-b.v3 with chart bp-postgres@0.2.24
flux-system       bp-postgres-shared-c               9d    True    Helm upgrade succeeded for release shared-data/shared-pg-c.v2 with chart bp-postgres@0.2.24
flux-system       bp-powerdns                        9d    True    Helm install succeeded for release powerdns/powerdns.v1 with chart bp-powerdns@1.2.23
flux-system       bp-powerdns-admin                  9d    True    Helm install succeeded for release powerdns-admin/powerdns-admin.v1 with chart bp-powerdns-admin@0.1.18
flux-system       bp-reflector                       9d    True    Helm install succeeded for release reflector/reflector.v1 with chart bp-reflector@1.0.0
flux-system       bp-reloader                        9d    True    Helm install succeeded for release reloader/reloader.v1 with chart bp-reloader@1.0.1
flux-system       bp-sealed-secrets                  9d    True    Helm install succeeded for release kube-system/sealed-secrets.v1 with chart bp-sealed-secrets@1.1.3
flux-system       bp-seaweedfs                       9d    True    Helm install succeeded for release seaweedfs/seaweedfs.v1 with chart bp-seaweedfs@1.2.5
flux-system       bp-self-sovereign-cutover          9d    True    Helm upgrade succeeded for release catalyst/self-sovereign-cutover.v6 with chart bp-self-sovereign-cutover@0.1.199
flux-system       bp-sigstore                        9d    True    Helm install succeeded for release sigstore-system/sigstore.v1 with chart bp-sigstore@1.0.1
flux-system       bp-sovereign-tls-vars              9d    True    Helm install succeeded for release flux-system/sovereign-tls-vars.v1 with chart bp-sovereign-tls-vars@0.1.1
flux-system       bp-sso-bridge                      9d    True    Helm install succeeded for release sso-bridge/sso-bridge.v1 with chart bp-sso-bridge@0.2.27
flux-system       bp-syft-grype                      9d    True    Helm install succeeded for release syft-grype/syft-grype.v1 with chart bp-syft-grype@1.0.0
flux-system       bp-tempo                           9d    True    Helm install succeeded for release tempo/tempo.v1 with chart bp-tempo@1.0.1
flux-system       bp-trivy                           9d    True    Helm install succeeded for release trivy-system/trivy.v1 with chart bp-trivy@1.0.5
flux-system       bp-valkey                          9d    True    Helm install succeeded for release valkey/valkey.v1 with chart bp-valkey@1.1.5
flux-system       bp-vcluster-helmrepo               9d    True    Helm install succeeded for release flux-system/vcluster-helmrepo.v1 with chart bp-vcluster-helmrepo@0.2.0
flux-system       bp-velero                          9d            
flux-system       bp-velero-hcs                      9d    True    Helm install succeeded for release velero/velero.v1 with chart bp-velero-hcs@0.1.2
flux-system       bp-vllm                            9d    True    Helm install succeeded for release vllm/vllm.v1 with chart bp-vllm@1.0.1
flux-system       bp-vpa                             9d    True    Helm install succeeded for release vpa/vpa.v1 with chart bp-vpa@1.0.4
walkstrangertwo   vcluster                           9d    True    Helm install succeeded for release walkstrangertwo/vcluster.v1 with chart vcluster@0.33.4
