cycle_ts,cycle_date,env,dep_id,milestone,row_id,epic_issue,epic_name,status,status_class
2026-06-04 23:47:38,2026-06-04,,,,27,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,28,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,29,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,30,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,31,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,32,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,33,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,34,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,35,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,36,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,37,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,38,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,39,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,40,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,41,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,42,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,43,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,44,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,45,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,46,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,47,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,48,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,49,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,50,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,51,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,52,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,53,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,54,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,55,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,56,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,57,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,58,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,59,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,60,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,61,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,62,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,63,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,64,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,65,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,66,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,67,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,68,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,69,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,70,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,71,3375,TOPOLOGY / DR,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,72,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,73,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,74,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,75,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,76,3376,FUNNEL (customer purchase),,ABSENT
